T,stride,inference_clips,epochs,top1_acc,delta_vs_stride4,temporal_window_frames,notes
16,2,1,50,65.72,-17.68,32,Dense sampling; short temporal window; misses macro-action structure
16,4,1,100,83.4,0.0,64,Baseline stride; broader temporal coverage; matches K400 pretraining config
