T,stride,inference_clips,top1_acc,delta_vs_1clip,approx_inference_cost_multiplier,notes
16,4,1,83.4,0.0,1x,Single clip inference; fast
16,4,5,84.67,+1.27,~5x,5-clip inference; same checkpoint as 1-clip baseline
