pretrain_source,pretrain_dataset_size,domain_type,downstream,T,stride,inference_clips,epochs,top1_acc,delta_vs_k400,notes
K400,240k videos,action-centric,UCF101,16,4,1,50,68.1,0.0,High domain similarity; action categories overlap with UCF101
SSV2,169k videos,motion-centric (hand interactions),UCF101,16,4,1,50,60.3,-7.8,Domain mismatch; fine-grained hand motions vs UCF101 macro actions
